setup,gene,num_mutated,model,graph,gene_selection,cancer type,num_layer,channels,batch,lr,ratio,dropout,aggregation,criterion,max_features,n_estimator,val_auc,val_acc,val_prec,val_recall,test_auc,test_acc,test_prec,test_recall
sorafenib_targets,all_neighbors,72,GCN,humannetv2,NA,LIHC,3,40,12,0.001,NA,False,hierarchy,NA,NA,NA,0.7371967654986522,0.7761194029850746,0.4444444444444444,0.2857142857142857,0.6407407407407407,0.7536231884057971,0.25,0.06666666666666667
sorafenib_targets,all_neighbors,72,ELR,NA,first_degree_neighbors,LIHC,NA,NA,NA,0.1,0.3,NA,NA,NA,NA,NA,0.6442048517520216,0.7910447761194029,0.0,0.0,0.45925925925925926,0.782608695652174,0.0,0.0
sorafenib_targets,all_neighbors,,RF,NA,NA,LIHC,NA,NA,NA,NA,NA,False,NA,gini,0.4,1000,0.5357142857142857,0.8059701492537313,1.0,0.07142857142857142,0.43950617283950616,0.7681159420289855,0.0,0.0
sorafenib_targets,all_neighbors,4153,GCN,funcoup,NA,pan_cancer,1,48,4,1e-05,NA,False,hierarchy,NA,NA,NA,0.8198445139754396,0.7402285027059531,0.7617602427921093,0.646074646074646,0.8125630456711538,0.7321321321321321,0.7503782148260212,0.6383526383526383
sorafenib_targets,all_neighbors,4153,ELR,NA,first_degree_neighbors,pan_cancer,NA,NA,NA,0.01,0.3,NA,NA,NA,NA,NA,0.8272498554665597,0.7522549609140108,0.7618364418938307,0.6833976833976834,0.8205604252901549,0.7441441441441441,0.7510729613733905,0.6756756756756757
sorafenib_targets,all_neighbors,,RF,NA,NA,pan_cancer,NA,NA,NA,NA,NA,False,NA,gini,0.1,1500,0.7172206873109807,0.7239927841250752,0.75,0.6138996138996139,0.7976219462705949,0.7195195195195195,0.739938080495356,0.6151866151866152
rtk_ras_dominant,all_neighbors,72,GCN,funcoup,NA,LIHC,2,40,4,0.0001,NA,False,hierarchy,NA,NA,NA,0.7641509433962264,0.7910447761194029,0.0,0.0,0.4925925925925926,0.782608695652174,0.0,0.0
rtk_ras_dominant,all_neighbors,72,ELR,NA,first_degree_neighbors,LIHC,NA,NA,NA,0.1,1,NA,NA,NA,NA,NA,0.7075471698113207,0.7910447761194029,0.0,0.0,0.408641975308642,0.782608695652174,0.0,0.0
rtk_ras_dominant,all_neighbors,,RF,NA,NA,LIHC,NA,NA,NA,NA,NA,False,NA,gini,0.4,1000,0.5,0.7910447761194029,0.0,0.0,0.4283950617283951,0.782608695652174,0.0,0.0
rtk_ras_dominant,all_neighbors,4153,GCN,humannetv2,NA,pan_cancer,2,48,4,1e-05,NA,False,hierarchy,NA,NA,NA,0.8297831853136592,0.7414311485267588,0.7510853835021708,0.667953667953668,0.8356609505258153,0.7567567567567568,0.7590529247910863,0.7014157014157014
rtk_ras_dominant,all_neighbors,4153,ELR,NA,first_degree_neighbors,pan_cancer,NA,NA,NA,0.01,0.3,NA,NA,NA,NA,NA,0.8371158969353099,0.7606734816596512,0.759233926128591,0.7142857142857143,0.8471106241376511,0.772972972972973,0.7903930131004366,0.6988416988416989
rtk_ras_dominant,all_neighbors,,RF,NA,NA,pan_cancer,NA,NA,NA,NA,NA,False,NA,entropy,0.4,2000,0.7190110135934065,0.7221888153938665,0.7166437414030261,0.6705276705276705,0.7967624960868205,0.7207207207207207,0.7166666666666667,0.6640926640926641
