setup,gene,num_mutated,model,graph,gene_selection,cancer type,num_layer,channels,batch,lr,ratio,dropout,aggregation,criterion,max_features,n_estimator,val_auc,val_acc,val_prec,val_recall
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,1,32,4,1e-05,NA,False,hierarchy,NA,NA,NA,0.578167115902965,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,1,32,4,0.0001,NA,False,hierarchy,NA,NA,NA,0.5404312668463612,0.8059701492537313,1.0,0.07142857142857142
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,1,32,4,0.001,NA,False,hierarchy,NA,NA,NA,0.6239892183288409,0.7611940298507462,0.375,0.21428571428571427
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,1,32,8,1e-05,NA,False,hierarchy,NA,NA,NA,0.5619946091644205,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,1,32,8,0.0001,NA,False,hierarchy,NA,NA,NA,0.5579514824797844,0.8059701492537313,1.0,0.07142857142857142
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,1,32,8,0.001,NA,False,hierarchy,NA,NA,NA,0.6145552560646901,0.7761194029850746,0.4,0.14285714285714285
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,1,32,12,1e-05,NA,False,hierarchy,NA,NA,NA,0.5525606469002695,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,1,32,12,0.0001,NA,False,hierarchy,NA,NA,NA,0.5485175202156335,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,1,32,12,0.001,NA,False,hierarchy,NA,NA,NA,0.5929919137466307,0.7611940298507462,0.25,0.07142857142857142
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,1,40,4,1e-05,NA,False,hierarchy,NA,NA,NA,0.5336927223719676,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,1,40,4,0.0001,NA,False,hierarchy,NA,NA,NA,0.555256064690027,0.8059701492537313,1.0,0.07142857142857142
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,1,40,4,0.001,NA,False,hierarchy,NA,NA,NA,0.6172506738544474,0.746268656716418,0.36363636363636365,0.2857142857142857
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,1,40,8,1e-05,NA,False,hierarchy,NA,NA,NA,0.5175202156334231,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,1,40,8,0.0001,NA,False,hierarchy,NA,NA,NA,0.555256064690027,0.8059701492537313,1.0,0.07142857142857142
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,1,40,8,0.001,NA,False,hierarchy,NA,NA,NA,0.5997304582210243,0.8059701492537313,0.6,0.21428571428571427
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,1,40,12,1e-05,NA,False,hierarchy,NA,NA,NA,0.5175202156334232,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,1,40,12,0.0001,NA,False,hierarchy,NA,NA,NA,0.545822102425876,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,1,40,12,0.001,NA,False,hierarchy,NA,NA,NA,0.5714285714285714,0.7910447761194029,0.5,0.14285714285714285
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,1,48,4,1e-05,NA,False,hierarchy,NA,NA,NA,0.5741239892183289,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,1,48,4,0.0001,NA,False,hierarchy,NA,NA,NA,0.5431266846361186,0.8059701492537313,1.0,0.07142857142857142
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,1,48,4,0.001,NA,False,hierarchy,NA,NA,NA,0.5943396226415094,0.746268656716418,0.4,0.42857142857142855
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,1,48,8,1e-05,NA,False,hierarchy,NA,NA,NA,0.568733153638814,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,1,48,8,0.0001,NA,False,hierarchy,NA,NA,NA,0.5579514824797844,0.8059701492537313,1.0,0.07142857142857142
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,1,48,8,0.001,NA,False,hierarchy,NA,NA,NA,0.605121293800539,0.7910447761194029,0.5,0.14285714285714285
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,1,48,12,1e-05,NA,False,hierarchy,NA,NA,NA,0.5862533692722371,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,1,48,12,0.0001,NA,False,hierarchy,NA,NA,NA,0.5539083557951483,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,1,48,12,0.001,NA,False,hierarchy,NA,NA,NA,0.5741239892183289,0.7761194029850746,0.4,0.14285714285714285
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,2,32,4,1e-05,NA,False,hierarchy,NA,NA,NA,0.47035040431266845,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,2,32,4,0.0001,NA,False,hierarchy,NA,NA,NA,0.5512129380053908,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,2,32,4,0.001,NA,False,hierarchy,NA,NA,NA,0.5512129380053908,0.7164179104477612,0.3333333333333333,0.35714285714285715
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,2,32,8,1e-05,NA,False,hierarchy,NA,NA,NA,0.4690026954177897,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,2,32,8,0.0001,NA,False,hierarchy,NA,NA,NA,0.5444743935309974,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,2,32,8,0.001,NA,False,hierarchy,NA,NA,NA,0.545822102425876,0.746268656716418,0.2857142857142857,0.14285714285714285
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,2,32,12,1e-05,NA,False,hierarchy,NA,NA,NA,0.4568733153638814,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,2,32,12,0.0001,NA,False,hierarchy,NA,NA,NA,0.5202156334231806,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,2,32,12,0.001,NA,False,hierarchy,NA,NA,NA,0.5067385444743936,0.7611940298507462,0.3333333333333333,0.14285714285714285
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,2,40,4,1e-05,NA,False,hierarchy,NA,NA,NA,0.5175202156334231,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,2,40,4,0.0001,NA,False,hierarchy,NA,NA,NA,0.5795148247978437,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,2,40,4,0.001,NA,False,hierarchy,NA,NA,NA,0.5283018867924528,0.746268656716418,0.36363636363636365,0.2857142857142857
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,2,40,8,1e-05,NA,False,hierarchy,NA,NA,NA,0.5067385444743935,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,2,40,8,0.0001,NA,False,hierarchy,NA,NA,NA,0.5646900269541779,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,2,40,8,0.001,NA,False,hierarchy,NA,NA,NA,0.555256064690027,0.7611940298507462,0.375,0.21428571428571427
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,2,40,12,1e-05,NA,False,hierarchy,NA,NA,NA,0.4892183288409704,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,2,40,12,0.0001,NA,False,hierarchy,NA,NA,NA,0.5646900269541779,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,2,40,12,0.001,NA,False,hierarchy,NA,NA,NA,0.5242587601078168,0.7761194029850746,0.42857142857142855,0.21428571428571427
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,2,48,4,1e-05,NA,False,hierarchy,NA,NA,NA,0.5646900269541779,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,2,48,4,0.0001,NA,False,hierarchy,NA,NA,NA,0.5673854447439353,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,2,48,4,0.001,NA,False,hierarchy,NA,NA,NA,0.5377358490566038,0.7164179104477612,0.3333333333333333,0.35714285714285715
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,2,48,8,1e-05,NA,False,hierarchy,NA,NA,NA,0.5673854447439353,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,2,48,8,0.0001,NA,False,hierarchy,NA,NA,NA,0.555256064690027,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,2,48,8,0.001,NA,False,hierarchy,NA,NA,NA,0.555256064690027,0.746268656716418,0.3333333333333333,0.21428571428571427
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,2,48,12,1e-05,NA,False,hierarchy,NA,NA,NA,0.5619946091644206,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,2,48,12,0.0001,NA,False,hierarchy,NA,NA,NA,0.5646900269541779,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,2,48,12,0.001,NA,False,hierarchy,NA,NA,NA,0.5431266846361187,0.8059701492537313,1.0,0.07142857142857142
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,3,32,4,1e-05,NA,False,hierarchy,NA,NA,NA,0.3867924528301887,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,3,32,4,0.0001,NA,False,hierarchy,NA,NA,NA,0.5539083557951482,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,3,32,4,0.001,NA,False,hierarchy,NA,NA,NA,0.5404312668463612,0.746268656716418,0.2857142857142857,0.14285714285714285
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,3,32,8,1e-05,NA,False,hierarchy,NA,NA,NA,0.36859838274932616,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,3,32,8,0.0001,NA,False,hierarchy,NA,NA,NA,0.5525606469002695,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,3,32,8,0.001,NA,False,hierarchy,NA,NA,NA,0.5283018867924528,0.7313432835820896,0.16666666666666666,0.07142857142857142
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,3,32,12,1e-05,NA,False,hierarchy,NA,NA,NA,0.3140161725067385,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,3,32,12,0.0001,NA,False,hierarchy,NA,NA,NA,0.5188679245283019,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,3,32,12,0.001,NA,False,hierarchy,NA,NA,NA,0.5444743935309974,0.7761194029850746,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,3,40,4,1e-05,NA,False,hierarchy,NA,NA,NA,0.5566037735849056,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,3,40,4,0.0001,NA,False,hierarchy,NA,NA,NA,0.5929919137466307,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,3,40,4,0.001,NA,False,hierarchy,NA,NA,NA,0.6132075471698113,0.7761194029850746,0.3333333333333333,0.07142857142857142
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,3,40,8,1e-05,NA,False,hierarchy,NA,NA,NA,0.5566037735849056,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,3,40,8,0.0001,NA,False,hierarchy,NA,NA,NA,0.5727762803234501,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,3,40,8,0.001,NA,False,hierarchy,NA,NA,NA,0.5512129380053908,0.7761194029850746,0.42857142857142855,0.21428571428571427
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,3,40,12,1e-05,NA,False,hierarchy,NA,NA,NA,0.5471698113207546,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,3,40,12,0.0001,NA,False,hierarchy,NA,NA,NA,0.5835579514824798,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,3,40,12,0.001,NA,False,hierarchy,NA,NA,NA,0.582210242587601,0.7761194029850746,0.3333333333333333,0.07142857142857142
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,3,48,4,1e-05,NA,False,hierarchy,NA,NA,NA,0.45148247978436656,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,3,48,4,0.0001,NA,False,hierarchy,NA,NA,NA,0.545822102425876,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,3,48,4,0.001,NA,False,hierarchy,NA,NA,NA,0.605121293800539,0.7014925373134329,0.2857142857142857,0.2857142857142857
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,3,48,8,1e-05,NA,False,hierarchy,NA,NA,NA,0.44204851752021557,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,3,48,8,0.0001,NA,False,hierarchy,NA,NA,NA,0.5444743935309972,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,3,48,8,0.001,NA,False,hierarchy,NA,NA,NA,0.610512129380054,0.7313432835820896,0.35714285714285715,0.35714285714285715
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,3,48,12,1e-05,NA,False,hierarchy,NA,NA,NA,0.43396226415094336,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,3,48,12,0.0001,NA,False,hierarchy,NA,NA,NA,0.5296495956873315,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,funcoup,NA,LIHC,3,48,12,0.001,NA,False,hierarchy,NA,NA,NA,0.6037735849056604,0.7761194029850746,0.4444444444444444,0.2857142857142857
sorafenib_targets,BRAF,72,GCN,humannetv2,NA,LIHC,1,32,4,1e-05,NA,False,hierarchy,NA,NA,NA,0.48921832884097033,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,humannetv2,NA,LIHC,1,32,4,0.0001,NA,False,hierarchy,NA,NA,NA,0.5431266846361186,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,humannetv2,NA,LIHC,1,32,4,0.001,NA,False,hierarchy,NA,NA,NA,0.46900269541778977,0.7313432835820896,0.0,0.0
sorafenib_targets,BRAF,72,GCN,humannetv2,NA,LIHC,1,32,8,1e-05,NA,False,hierarchy,NA,NA,NA,0.477088948787062,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,humannetv2,NA,LIHC,1,32,8,0.0001,NA,False,hierarchy,NA,NA,NA,0.5539083557951483,0.7910447761194029,0.0,0.0
sorafenib_targets,BRAF,72,GCN,humannetv2,NA,LIHC,1,32,8,0.001,NA,False,hierarchy,NA,NA,NA,0.44743935309973043,0.7611940298507462,0.0,0.0
